# locus	allele	hash-type
aroC	6GUMqxkMYXpIDEPWB7GXJg	md5
aroC	YaT2ElkUSm8IvbW6g/hxSg	md5
aroC	PO9EWkqaMIxKj7kRtQUt5A	md5
aroC	oINtLz/DDyW+mQLIYgJImA	md5
aroC	ysmGCicgdymPGuk9byI6Vg	md5
aroC	tCuWJgra0YbQx7EAmElVEg	md5
aroC	WeVgVXj2kbV6+Aw7JC1WCg	md5
aroC	6hsamYdm3gBk6FTAAtP4Gw	md5
aroC	2wGRUpoQW6PNQuq84IQ1hg	md5
aroC	smSkS8kzABu85Okg4KtsCw	md5
aroC	6nab1K+8JWOWy7lw70LSOQ	md5
aroC	GaNnb2FQVU5Uyg12C8A24w	md5
aroC	FXnbGxrU961fSNlCevMTXQ	md5
aroC	pNDs98PqSn/Df3d0aA7ovA	md5
aroC	1vVazjIlsn3NHIml1BZHjg	md5
aroC	Pm+4NSWpNRp3DGuSnbdZyg	md5
aroC	zffdEOdMS4IOOQJz5UFAgg	md5
aroC	wzW1vbnSlb+A7q00tKZe3g	md5
aroC	MpFDVGpKtNPkUN8vPyLZUA	md5
aroC	OcPsr9BQ6GI0Sub26cI6uw	md5
aroC	r/BM5QKbiG3qSyFKL2wSUA	md5
aroC	epc8wzkOp28/clPmMcVQQQ	md5
aroC	aR+DxOdXcXcz81k3IkKHhQ	md5
aroC	VuKO9C3hxz5UoSgOrDjYeQ	md5
aroC	goxp4h0UsAz/Gqh/C+obKg	md5
aroC	u1jJl41EpeuGNoal0hI+og	md5
aroC	WPyTv6LzBN3vhtpbiYxikw	md5
aroC	oAfJSJ0TrzaCoyjlJ+FkZg	md5
aroC	gpESrA86EO2wIv8cTYtg9A	md5
aroC	6cpt7x8cgWo1ijcmBf1DsA	md5
aroC	NN7ta0eTEQZDpRX+ButBCQ	md5
aroC	eIDqfJKkeGXOjkwfZDBWRQ	md5
aroC	HdVJdVvfZq0IMTekv1PJmQ	md5
aroC	n+gF/63G5S4rbFfH+Il3Og	md5
aroC	S2dt6YGUnPvjiwnppAJsYA	md5
aroC	H4aAJl3wIX0JRBcfGtCUVA	md5
aroC	U6R3p1kvrD8zBccw6FZb1w	md5
aroC	Ceg+nh5K/zaS70++RDjThw	md5
aroC	rUVVYZLc4Kbe0u2atfqAqw	md5
aroC	qMmuOWlVcd+RdRzVGmEjSg	md5
aroC	TlT+hJ0giFmua+n4EKtS0w	md5
aroC	69pFo9e4XXfjP+zlmuGfkQ	md5
aroC	PI6Wrd7xwu4n4YO/poPwtQ	md5
aroC	fmyaa/nw9pQ678OLT80IDg	md5
aroC	SsMv7HVNLKQ+Q7cpnRLj2Q	md5
aroC	NVhKplrE2pa3OgGcj1FpjQ	md5
aroC	tjqSGrfW24YIjHGuRstrlQ	md5
aroC	JBkpl/ohIYPhJdZOb+BybA	md5
aroC	OCdBb4f7WHX7kvu9MCIerw	md5
aroC	jPDb7CVAC9mPUlvGiVcSgg	md5
aroC	B5mvn661tKproYObDBuIrw	md5
aroC	8e9PIo4Tot8iJCenLVAscw	md5
aroC	25VTXFUEMfJIQfCi+zL5ww	md5
aroC	1aRPaJPoBimGl16ySef6kQ	md5
aroC	DhEQdi3H2XZTR0kMKEgJJg	md5
aroC	//6DcTGuK1gF7xWqpkAlhw	md5
aroC	rUPT2+8x4jTenhZfbbdkBA	md5
aroC	ToFyXuRv/LDotjBo7oFYtQ	md5
aroC	3D+PUayvEpWmTQo1NlgDKw	md5
aroC	wVkTIvNCMvzRpNHXXeS5Eg	md5
aroC	lofPrZcXd5ewId/tSPaPuw	md5
aroC	n/FmeiiGYfyqbKOmpSMyqA	md5
aroC	juu4fFdQaPt3wJG4ak8FIQ	md5
aroC	MqWDJ2Ri/FmrbPqxJaowKw	md5
aroC	BeHgRByW0F5HpJQ2at7CWA	md5
aroC	Dahg8ORZrj5sWQUDA0/mGw	md5
aroC	+CK7EwJK7TLk+UBAxgHXUg	md5
aroC	dNrWNz1vgnIBuYUVIhEa8w	md5
aroC	S4DCERA8E6IbeHre6KuxEg	md5
aroC	wJIp8YuKE3AIOeSyISFsBQ	md5
aroC	XnZDWsrIydhHyCrqtDlBtg	md5
aroC	IkyJrO5HkIYftkuKFyODAg	md5
aroC	2MYKD69n+95Y1Hek4DVXkw	md5
aroC	Fghe2PqLUkzROcUPydqB2g	md5
aroC	Dg3gOrZHHmu6H7QdRDzupQ	md5
aroC	0yNIMIpLl59ssKv2+/Gt3g	md5
aroC	wAJi+RShTV5GysRwrenKuQ	md5
aroC	6NkbY7Q+J28pYykDecd3UA	md5
aroC	ODrx330utcAeXPCx2HdrsQ	md5
aroC	LOYV832HXoCG6c6Vb6Mw6Q	md5
aroC	Flxv3JboE18TPgHxPxr6Yw	md5
aroC	QTaj8pM7X+R6+o48NSTM+Q	md5
aroC	WOasGz0PAWidz34cLlZ4SQ	md5
aroC	B2mx6ryioGyzlo4vUFO/DQ	md5
aroC	a0GGK80ypvQh0ec/MwuXlg	md5
aroC	TjkE1iVv+/VMubvzDudiIw	md5
aroC	XpVxCFvuESOl6r38eoE0bQ	md5
aroC	1WH1sqkpjsa+toDgUK2niQ	md5
aroC	RjN+3w+MAMPB5+Nkqd2Zag	md5
aroC	LegClzGEE7953qowrZqXwA	md5
aroC	OwBJLeT/AqIosxLgKu7YTA	md5
aroC	K9l2r+dELmwhJH5VB2pEEg	md5
aroC	ebwXIg8HiIsSNETbyreiug	md5
aroC	40wz7N4wr48W1rrGTWLAAw	md5
aroC	2BDQJNzpTHZPZfbp5u0kuQ	md5
aroC	CJMccagRH6VhwsGGUzPQvQ	md5
aroC	Vxk78mKn3vdmDTYlbqVSGg	md5
aroC	oayWtzZx9Yh215elHhmqzg	md5
aroC	rpzXaMJ6v+l8O/UwzoSdcA	md5
aroC	z1GYQEmdkOBl6QCTxx4vyw	md5
aroC	3z01xxb5hQyTpTGPnm7gGQ	md5
aroC	6Y9fPIzHxMjqiWkfLJaXUw	md5
aroC	7gR3wY7LdZguV8nTKOe8fA	md5
aroC	AyDWDKGZgWN9wrcxFIkAVw	md5
aroC	do+5vhaKk2hZBglm0a18VQ	md5
aroC	HAysWdpSbq2fx+hrbLl13Q	md5
aroC	ISdeLmYCduHBRnOUOAV3hg	md5
aroC	ha+lWEG662ZeFA+9v0G1DQ	md5
aroC	PCku+4yvufzwvscuMZcrdg	md5
aroC	PzPYL38WtRRbvCMQJvaFTA	md5
aroC	UMM/rKmlOw9wX1mkjHQ8Lw	md5
aroC	3UBidBCDAirczdB5Cgl+Xw	md5
aroC	JD2L8mM/EYq/Mz9lWyixQQ	md5
aroC	6+IBJgfMmPLtKii9BS3XiQ	md5
aroC	5RJW+zMTeAFdP9kj29i2Hg	md5
aroC	5RJ2IyVUZBs45lijZSz4DA	md5
aroC	nik+z/bMoDVcVbNrjwQ5jg	md5
aroC	qoygLMj57aomifKsHeFjlA	md5
aroC	g23i28nqlq1qu12+r4nQRQ	md5
aroC	RWdqmJYXNjC7tuCeVD9QwQ	md5
aroC	+jOeR5oLYIQTqpCHyjH5TQ	md5
aroC	+FGS9ju5rpeRk9aIma+wrA	md5
aroC	sAm3EUMxQZpJD9vH5gIbEw	md5
aroC	9UuwCe5xADpd4iVAHSUSVg	md5
aroC	IUrA6yISrN1JB3I5Wb3IbA	md5
aroC	55+eTvmjXhp0Lxr2Tli3Aw	md5
aroC	MJXPonj0JED2nZebAfq6og	md5
aroC	shUl1baaJMFVCT/f1u9Qaw	md5
aroC	nWqwhErWXEj+CMGGCdoUcQ	md5
aroC	fJhaDos+oI3llYf6zqY6eA	md5
aroC	FvbbZLGSXdH4sGRQBVBchw	md5
aroC	vmQXD5UPzZKhcVRP5kSmjg	md5
aroC	B1iH7sjqqxbaTHvDo8HA/g	md5
aroC	PhsZBMuorRYmpBBgWax8Kg	md5
aroC	FQza/oZ9n345Ef4b88eBAQ	md5
aroC	KNd9QZ5PqsYkSA2+GyUm2g	md5
aroC	iA1T/yc0gh9n9taJoL3soA	md5
aroC	JPSSieNeyiblTE2UUmzwDg	md5
aroC	FNXQkIcEIAffhKn9VVx6pQ	md5
aroC	KLht8yFaXPzGOSW3tHCNsw	md5
aroC	cLJH20AK8ntxE52Xfphx7Q	md5
aroC	g62UBpR7QLf0WPFPkCzIUw	md5
aroC	S3zg+TdPeGxgjfW833fcJg	md5
aroC	QA2EQN7eJi9skVUA/lpSRA	md5
aroC	me7ZH+fGpWUUm0fb+OAeAw	md5
aroC	G5DgTE2kLbR/Ff9aq2Wp4g	md5
aroC	8My0tccqoEl0kkalYQItyg	md5
aroC	9nUlV4iCnJTohmsR1XQ36Q	md5
aroC	W/iTNcXnHgZju67eGLM7bQ	md5
aroC	jleK6LB/laA84SfIUk4eOA	md5
aroC	g9SA0F3IG+GhcfIVEVbZPQ	md5
aroC	x6RlwK6JseG3vkFe9uVFwA	md5
